New run.
06-08-17,9.40
rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
140,26,16367.502,1997.384,6.44,18.175844
rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
27,140,8513.617,305.483,6.69,1.269720
Global parameters (Constants)
Date, tod, TCon, rPARMax, bPARMax, ConMax, rSpecLSupply, bSpecLSupply,FrR_target, rPBR, bPBR, rEpsa, rEpsb, rEpsc, bEpsa, bEpsb, bEpsc, rLambda, ra1, ra0, bLambda, ba1, ba0, rNPARa1, bNPARa1, pHMin, width, BgLo, BgLi, rPWMmin, bPWMmin, daylength
06-08-17,9.467,300000,1978.00,719.00,20.00,0.0959,0.0281,0.750,1.2351,1.5182,0.07523,0.07815,0.00000,0.10930,0.17050,0.51890,0.6650,0.0128,-1.8235,0.5179,0.0169,-2.3531,1.0410,0.9192,6.50,4.0,0.167,0.099,27,26,18.0
Continuous
Date, tod, tor, Illum, state, rLi_ref, rLo_ref, bLi_ref, bLo_ref, rKd, bKd, b_rAbs, rCon2, bCon2, rCon, bCon, rPARimax, bPARimax, FrR, rL_avail, bL_avail, L_avail, pH, pHAvg, Temp, rPWM, bPWM, LiAvg, LoAvg, rLi, rLo, bLi, bLo, Mu, TMu, ConRate, SpConRate, comment
06-08-17,10.938,1.539,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,7.09,1.77,8.86,7.69,7.58,25.87,31,37,1.520,0.245,2.754,0.278,-1.234,-0.034,0.000000,0.922,0.000000,0.000000,

06-08-17,11.022,1.622,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,7.13,1.78,8.91,7.68,7.58,25.75,31,37,1.486,0.055,0.196,0.020,1.291,0.035,0.000000,1.006,0.000000,0.000000,

06-08-17,11.106,1.706,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,7.17,1.79,8.95,7.51,7.58,25.87,31,37,1.449,0.048,0.119,0.012,1.330,0.036,0.000000,1.090,0.000000,0.000000,

06-08-17,11.190,1.790,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,7.20,1.80,8.99,7.36,7.58,25.87,31,37,1.821,0.704,8.881,0.898,-7.061,-0.193,0.000000,1.174,0.000000,0.000000,

06-08-17,11.274,1.874,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,7.23,1.80,9.03,7.33,7.58,25.87,31,37,4.105,7.637,102.096,10.321,-97.991,-2.684,0.000000,1.257,0.000000,0.000000,

06-08-17,11.358,1.958,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,7.25,1.81,9.06,7.31,7.58,25.87,31,37,1.744,0.068,0.277,0.028,1.467,0.040,0.000000,1.341,0.000000,0.000000,

06-08-17,11.441,2.042,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,7.27,1.82,9.09,7.33,7.58,25.87,31,37,1.809,0.069,0.269,0.027,1.539,0.042,0.000000,1.425,0.000000,0.000000,

