New run.
23-07-17,14.66
rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
140,26,14596.503,1312.982,11.06,9.542271
rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
27,140,7402.935,75.363,8.04,0.236442
Global parameters (Constants)
Date, tod, TCon, rPARMax, bPARMax, ConMax, rSpecLSupply, bSpecLSupply,FrR_target, rPBR, bPBR, rEpsa, rEpsb, rEpsc, bEpsa, bEpsb, bEpsc, rLambda, ra1, ra0, bLambda, ba1, ba0, rNPARa1, bNPARa1, pHMin, width, BgLo, BgLi, rPWMmin, bPWMmin, daylength
23-07-17,14.727,300000,1978.00,719.00,20.00,0.0959,0.0281,0.750,1.2351,1.5182,0.07523,0.07815,0.00000,0.10930,0.17050,0.51890,0.6650,0.0128,-1.8235,0.5179,0.0169,-2.3531,1.0410,0.9192,6.50,4.0,0.167,0.099,27,26,18.0
Continuous
Date, tod, tor, Illum, state, rLi_ref, rLo_ref, bLi_ref, bLo_ref, rKd, bKd, b_rAbs, rCon2, bCon2, rCon, bCon, rPARimax, bPARimax, FrR, rL_avail, bL_avail, L_avail, pH, pHAvg, Temp, rPWM, bPWM, LiAvg, LoAvg, rLi, rLo, bLi, bLo, Mu, TMu, ConRate, SpConRate, comment

23-07-17,14.813,0.153,3,continuous,14596.50,1312.982,7402.93,75.363,0.001493,0.000585,2.624,2.229,2.638,2.229,2.229,1.06,0.48,0.789,2.24,0.60,2.84,8.97,7.58,25.50,29,33,27.154,0.313,0.457,0.041,26.697,0.272,0.000000,0.153,0.000000,0.000000,

23-07-17,14.897,0.237,3,continuous,14596.50,1312.982,7402.93,75.363,0.001493,0.000585,2.624,2.229,2.638,2.229,2.229,1.06,0.48,0.789,2.20,0.59,2.79,8.97,7.58,25.50,29,33,0.049,0.014,0.164,0.015,-0.115,-0.001,0.000000,0.000,0.000000,0.000000,

23-07-17,14.981,0.321,3,continuous,14596.50,1312.982,7402.93,75.363,0.001493,0.000585,2.624,2.229,2.638,2.229,2.229,1.06,0.48,0.789,2.17,0.58,2.75,8.97,7.58,25.50,29,33,0.050,0.019,0.236,0.021,-0.187,-0.002,0.000000,0.084,0.000000,0.000000,

23-07-17,15.485,0.153,3,continuous,14647.97,1304.414,7372.28,75.448,0.001493,0.000585,2.586,2.243,2.635,2.243,2.243,1.08,0.49,0.788,1.97,0.53,2.50,8.97,7.58,25.50,29,33,23.556,0.341,1.263,0.112,22.294,0.228,0.000000,0.153,0.000000,0.000000,

23-07-17,15.569,0.237,3,continuous,14647.97,1304.414,7372.28,75.448,0.001493,0.000585,2.586,2.243,2.635,2.243,2.243,1.08,0.49,0.788,1.93,0.52,2.44,8.97,7.58,25.50,29,33,0.054,0.013,0.159,0.014,-0.105,-0.001,0.000000,0.000,0.000000,0.000000,
