New run.
12-06-17,13.10
rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
140,26,15253.654,1080.233,11.91,21.639232
rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
27,140,7866.826,71.808,6.10,0.696817
Global parameters (Constants)
Date, tod, TCon, rPARMax, bPARMax, ConMax, rSpecLSupply, bSpecLSupply,FrR_target, rPBR, bPBR, rEpsa, rEpsb, rEpsc, bEpsa, bEpsb, bEpsc, rLambda, ra1, ra0, bLambda, ba1, ba0, rNPARa1, bNPARa1, pHMin, width, BgLo, BgLi, rPWMmin, bPWMmin, daylength
12-06-17,13.167,300000,1978.00,719.00,10.00,0.7673,0.2245,0.750,1.2351,1.5182,0.07523,0.07815,0.00000,0.10930,0.17050,0.51890,0.6650,0.0128,-1.8235,0.5179,0.0169,-2.3531,1.0410,0.9192,6.50,4.0,0.167,0.099,27,26,18.0
Continuous
Date, tod, tor, Illum, state, rLi_ref, rLo_ref, bLi_ref, bLo_ref, rKd, bKd, b_rAbs, rCon2, bCon2, rCon, bCon, rPARimax, bPARimax, FrR, rL_avail, bL_avail, L_avail, pH, pHAvg, Temp, rPWM, bPWM, LiAvg, LoAvg, rLi, rLo, bLi, bLo, Mu, TMu, ConRate, SpConRate, comment

12-06-17,13.253,0.153,3,continuous,15253.65,1080.233,7866.83,71.808,0.001493,0.000585,2.142,2.528,2.703,2.528,2.528,12.39,3.63,0.843,28.93,5.40,34.33,8.61,7.57,25.87,40,50,135.265,0.830,-6.567,-0.465,141.832,1.295,0.000000,0.153,0.000000,0.000000,

12-06-17,13.337,0.237,3,continuous,15253.65,1080.233,7866.83,71.808,0.001493,0.000585,2.142,2.528,2.703,2.528,2.528,12.39,3.63,0.843,28.74,5.36,34.10,8.60,7.57,25.87,40,50,127.731,0.516,-10.534,-0.746,138.265,1.262,0.000000,0.000,0.000000,0.000000,

12-06-17,13.421,0.321,3,continuous,15253.65,1080.233,7866.83,71.808,0.001493,0.000585,2.142,2.528,2.703,2.528,2.528,12.39,3.63,0.843,28.53,5.32,33.86,8.60,7.57,25.75,40,50,127.755,0.514,-10.579,-0.749,138.334,1.263,0.000000,0.084,0.000000,0.000000,

12-06-17,13.505,0.404,3,continuous,15253.65,1080.233,7866.83,71.808,0.001493,0.000585,2.142,2.528,2.703,2.528,2.528,12.39,3.63,0.843,28.32,5.28,33.60,8.60,7.57,25.75,40,50,126.263,0.510,-10.417,-0.738,136.680,1.248,0.000000,0.168,0.000000,0.000000,

12-06-17,13.588,0.488,3,continuous,15253.65,1080.233,7866.83,71.808,0.001493,0.000585,2.142,2.528,2.703,2.528,2.528,12.39,3.63,0.843,28.09,5.24,33.33,8.62,7.57,25.75,40,50,125.596,0.507,-10.372,-0.735,135.968,1.241,0.000000,0.251,0.000000,0.000000,
