New run. 22-05-17,8.74
rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
140,26,15180.394,22.532,9.50,0.422277
rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
27,140,7284.772,1.083,7.46,0.000035
Global parameters (Constants)
Date, tod, TCon, rPARMax, bPARMax, ConMax, rSpecLSupply, bSpecLSupply,FrR_target, rPBR, bPBR, rLambda, ra1, ra0, bLambda, ba1, ba0, rNPARa1, bNPARa1, pHMin, width, BgLo, BgLi, rPWMmin, bPWMmin, daylength
22-05-17,8.800,300000,1978.00,719.00,20.00,0.0959,0.0281,0.750,1.2351,1.5182,0.6650,0.0128,-1.8235,0.5179,0.0169,-2.3531,1.0410,0.9192,6.50,4.0,0.167,0.099,27,26,18.0
Continuous
Date, tod, tor, Illum, state, rLi_ref, rLo_ref, bLi_ref, bLo_ref, rEpsa, rEpsb, rEpsc, rKd, bEpsa, bEpsb, bEpsc, bKd, b_rAbs, rCon2, bCon2, rCon, bCon, rPARimax, bPARimax, FrR, rL_avail, bL_avail, L_avail, pH, pHAvg, Temp, rPWM, bPWM, LiAvg, LoAvg, rLi, rLo, bLi, bLo, Mu, TMu, ConRate, SpConRate, comment
22-05-17,9.977,1.244,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,216.47,48.99,265.46,7.64,6.83,26.00,135,151,22325.912,20.943,13195.441,19.586,9130.472,1.357,0.0000,1.007,0.000000,0.000000,

22-05-17,10.061,1.328,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,218.76,49.51,268.27,7.64,6.82,26.00,136,152,22522.333,21.122,13307.773,19.752,9214.562,1.370,0.0000,1.091,0.000000,0.000000,

22-05-17,10.144,1.412,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,220.97,50.01,270.99,7.64,6.81,26.00,136,153,22805.384,21.379,13468.497,19.991,9336.889,1.388,0.0000,1.175,0.000000,0.000000,

22-05-17,10.228,1.496,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,223.10,50.50,273.60,7.64,6.81,26.00,137,153,23186.025,21.663,13639.090,20.244,9546.936,1.419,0.0000,1.259,0.000000,0.000000,

22-05-17,10.312,1.579,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,225.15,50.96,276.11,7.64,6.80,26.00,138,154,23347.460,21.672,13627.165,20.226,9720.297,1.445,0.0000,1.342,0.000000,0.000000,

22-05-17,10.396,1.663,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,227.10,51.40,278.50,7.62,6.81,26.00,139,154,23446.634,21.618,13575.885,20.150,9870.750,1.467,0.0000,1.426,0.000000,0.000000,

22-05-17,10.480,1.747,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,228.97,51.82,280.79,7.62,6.80,26.00,139,155,23730.105,21.858,13724.257,20.371,10005.849,1.488,0.0000,1.510,0.000000,0.000000,

22-05-17,10.564,1.831,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,230.74,52.23,282.97,7.62,6.79,26.12,140,155,23899.720,21.993,13806.251,20.492,10093.470,1.501,0.0000,1.594,0.000000,0.000000,

22-05-17,10.648,1.915,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,232.43,52.61,285.04,7.62,6.79,26.00,140,156,24219.800,22.250,13962.920,20.725,10256.881,1.525,0.0000,1.678,0.000000,0.000000,

22-05-17,10.731,1.999,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,234.02,52.97,286.98,7.62,6.79,26.00,141,156,24301.533,22.318,14005.225,20.788,10296.309,1.531,0.0000,1.762,0.000000,0.000000,

22-05-17,10.815,2.083,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,235.51,53.31,288.82,7.62,6.78,26.00,141,157,24475.630,22.406,14051.651,20.857,10423.981,1.550,0.0000,1.846,0.000000,0.000000,

22-05-17,10.899,2.167,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,236.91,53.62,290.53,7.62,6.78,26.00,142,157,24533.394,22.445,14074.599,20.891,10458.796,1.555,0.0000,1.930,0.000000,0.000000,

22-05-17,10.983,2.250,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,238.21,53.92,292.13,7.62,6.78,26.12,142,158,24698.199,22.588,14162.986,21.022,10535.214,1.566,0.0000,2.013,0.000000,0.000000,

22-05-17,11.067,2.334,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,239.41,54.19,293.60,7.62,6.78,26.12,143,158,24916.177,22.667,14198.157,21.074,10718.022,1.593,0.0000,2.097,0.000000,0.000000,

